station,time_min,amplitude_mean,amplitude_std,amplitude_max,amplitude_min,amplitude_count,channel
CRA,2023-06-28 07:29:00+00:00,645.110263,3309.560391,20290.343879,-147.917057,38,HHE
CRA,2023-06-28 07:30:00+00:00,2.530458,108.234833,354.251936,-262.092892,180,HHE
CRA,2023-06-28 07:31:00+00:00,12.111207,80.574696,308.505144,-227.742501,180,HHE
CRA,2023-06-28 07:32:00+00:00,-6.144262,89.333187,275.924475,-277.488701,180,HHE
CRA,2023-06-28 07:33:00+00:00,-8.316207,92.926093,341.498052,-263.428486,180,HHE
CRA,2023-06-28 07:34:00+00:00,-6.455037,89.044789,259.809841,-293.607683,180,HHE
CRA,2023-06-28 07:35:00+00:00,3.354834,90.873435,258.235397,-308.797126,180,HHE
CRA,2023-06-28 07:36:00+00:00,-0.683841,82.82546,235.210199,-259.289835,180,HHE
CRA,2023-06-28 07:37:00+00:00,-11.592221,88.024025,262.78217,-344.108896,180,HHE
CRA,2023-06-28 07:38:00+00:00,0.268768,82.070255,233.65865,-265.118463,180,HHE
CRA,2023-06-28 07:39:00+00:00,-1.827489,86.52471,234.644752,-298.881326,180,HHE
CRA,2023-06-28 07:40:00+00:00,4.684656,87.34012,312.412336,-256.315755,180,HHE
CRA,2023-06-28 07:41:00+00:00,-1.932854,103.294079,334.201006,-324.389239,180,HHE
CRA,2023-06-28 07:42:00+00:00,7.20961,92.675738,321.39135,-249.864429,180,HHE
CRA,2023-06-28 07:43:00+00:00,0.998296,90.33602,315.830774,-247.269498,180,HHE
CRA,2023-06-28 07:44:00+00:00,-8.872945,93.904615,311.339229,-277.764678,180,HHE
CRA,2023-06-28 07:45:00+00:00,12.41173,87.888309,275.486817,-248.206963,180,HHE
CRA,2023-06-28 07:46:00+00:00,2.262699,77.69456,254.361694,-256.362,180,HHE
CRA,2023-06-28 07:47:00+00:00,5.244901,92.638417,258.609622,-349.950086,180,HHE
CRA,2023-06-28 07:48:00+00:00,-2.132101,96.882867,273.509268,-379.143058,180,HHE
CRA,2023-06-28 07:49:00+00:00,0.301626,103.415595,478.487153,-323.55607,180,HHE
CRA,2023-06-28 07:50:00+00:00,7.434919,86.564484,267.620473,-185.418876,180,HHE
CRA,2023-06-28 07:51:00+00:00,-5.862583,104.987177,297.960516,-308.024716,180,HHE
CRA,2023-06-28 07:52:00+00:00,-15.271675,90.515939,227.492731,-360.644694,180,HHE
CRA,2023-06-28 07:53:00+00:00,4.633748,80.642933,219.478623,-279.805742,180,HHE
CRA,2023-06-28 07:54:00+00:00,7.114502,79.36623,230.417034,-231.541566,180,HHE
CRA,2023-06-28 07:55:00+00:00,-13.901484,87.804102,230.777234,-272.012129,180,HHE
CRA,2023-06-28 07:56:00+00:00,-7.487755,90.04664,230.382289,-348.658731,180,HHE
CRA,2023-06-28 07:57:00+00:00,-3.921116,73.876552,183.002605,-196.286926,180,HHE
CRA,2023-06-28 07:58:00+00:00,1.402362,83.581062,297.433144,-220.654599,180,HHE
CRA,2023-06-28 07:59:00+00:00,-5.786779,90.866569,240.137799,-226.151819,180,HHE
CRA,2023-06-28 08:00:00+00:00,-8.118884,96.967174,256.597504,-277.843886,180,HHE
CRA,2023-06-28 08:01:00+00:00,7.412175,92.92169,289.662777,-324.041574,180,HHE
CRA,2023-06-28 08:02:00+00:00,9.061491,87.405551,275.225431,-245.170134,180,HHE
CRA,2023-06-28 08:03:00+00:00,-5.204904,77.619765,223.184027,-259.982523,180,HHE
CRA,2023-06-28 08:04:00+00:00,4.746612,92.053962,220.566017,-278.803662,180,HHE
CRA,2023-06-28 08:05:00+00:00,-10.064624,89.040734,252.013454,-277.382368,180,HHE
CRA,2023-06-28 08:06:00+00:00,9.166574,83.707665,282.469082,-217.421353,180,HHE
CRA,2023-06-28 08:07:00+00:00,-9.24155,81.272544,261.591105,-246.978654,180,HHE
CRA,2023-06-28 08:08:00+00:00,5.171424,83.325704,238.949108,-229.389465,180,HHE
CRA,2023-06-28 08:09:00+00:00,-1.398981,83.085514,285.54252,-280.898618,180,HHE
CRA,2023-06-28 08:10:00+00:00,-7.715973,81.331536,219.792541,-272.195865,180,HHE
CRA,2023-06-28 08:11:00+00:00,-7.030582,82.36152,198.000379,-298.385795,180,HHE
CRA,2023-06-28 08:12:00+00:00,4.924974,86.814214,236.910288,-269.129854,180,HHE
CRA,2023-06-28 08:13:00+00:00,-0.13743,96.940147,418.204364,-235.221401,180,HHE
CRA,2023-06-28 08:14:00+00:00,-10.7083,84.04675,250.560399,-272.459812,180,HHE
CRA,2023-06-28 08:15:00+00:00,0.445507,88.599385,262.323492,-287.531932,180,HHE
CRA,2023-06-28 08:16:00+00:00,0.169713,78.279267,262.286338,-221.301089,180,HHE
CRA,2023-06-28 08:17:00+00:00,-17.980298,77.87987,150.146951,-224.307963,180,HHE
CRA,2023-06-28 08:18:00+00:00,0.392148,89.156724,272.162044,-227.00251,180,HHE
CRA,2023-06-28 08:19:00+00:00,-9.950873,92.899085,299.672158,-317.915424,180,HHE
CRA,2023-06-28 08:20:00+00:00,6.428142,98.372484,317.121166,-284.123413,180,HHE
CRA,2023-06-28 08:21:00+00:00,-6.495407,89.491213,213.67358,-234.776558,180,HHE
CRA,2023-06-28 08:22:00+00:00,-11.553381,83.202424,207.629938,-248.349276,180,HHE
CRA,2023-06-28 08:23:00+00:00,0.995103,95.615586,263.808544,-276.390338,180,HHE
CRA,2023-06-28 08:24:00+00:00,0.980498,88.775084,252.048737,-370.640371,180,HHE
CRA,2023-06-28 08:25:00+00:00,-9.842889,89.764341,297.102214,-243.451594,180,HHE
CRA,2023-06-28 08:26:00+00:00,15.230676,88.365695,242.13011,-195.861527,180,HHE
CRA,2023-06-28 08:27:00+00:00,-13.573132,100.890169,418.111742,-344.145697,180,HHE
CRA,2023-06-28 08:28:00+00:00,-2.680973,93.83913,344.963951,-252.870357,180,HHE
CRA,2023-06-28 08:29:00+00:00,-8.70052,86.85034,244.031292,-277.666031,180,HHE
CRA,2023-06-28 08:30:00+00:00,6.908496,86.911796,224.27475,-236.540595,180,HHE
CRA,2023-06-28 08:31:00+00:00,5.706152,89.290092,228.870716,-191.787463,180,HHE
CRA,2023-06-28 08:32:00+00:00,7.536428,96.84343,309.36239,-265.242776,180,HHE
