station,time_min,amplitude_mean,amplitude_std,amplitude_max,amplitude_min,amplitude_count,channel
BON,2016-09-08 00:00:00+00:00,-99.299289,781.940211,682.588887,-6350.558708,180,HHE
BON,2016-09-08 00:01:00+00:00,-26.127111,208.211773,493.309515,-692.598612,180,HHE
BON,2016-09-08 00:02:00+00:00,11.53059,221.562992,788.883922,-680.061778,180,HHE
BON,2016-09-08 00:03:00+00:00,-5.126173,221.467281,594.661825,-874.756597,180,HHE
BON,2016-09-08 00:04:00+00:00,-19.087223,198.352869,834.295696,-701.445975,180,HHE
BON,2016-09-08 00:05:00+00:00,-4.639336,211.721828,502.032298,-1046.403162,180,HHE
BON,2016-09-08 00:06:00+00:00,-3.767884,207.467871,838.094461,-650.015712,180,HHE
BON,2016-09-08 00:07:00+00:00,9.47165,236.774423,776.932159,-738.827732,180,HHE
BON,2016-09-08 00:08:00+00:00,-4.386678,193.970056,683.349628,-504.399966,180,HHE
BON,2016-09-08 00:09:00+00:00,-7.504327,215.673214,685.419469,-671.813118,180,HHE
BON,2016-09-08 00:10:00+00:00,1.077195,197.894307,544.751644,-573.951272,180,HHE
BON,2016-09-08 00:11:00+00:00,-12.169778,190.839435,641.327092,-502.953142,180,HHE
BON,2016-09-08 00:12:00+00:00,1.057774,192.496115,772.650721,-501.68783,180,HHE
BON,2016-09-08 00:13:00+00:00,-2.988543,201.445503,637.255513,-708.300033,180,HHE
BON,2016-09-08 00:14:00+00:00,-14.59224,202.200306,616.609731,-613.432631,180,HHE
BON,2016-09-08 00:15:00+00:00,-0.273781,229.801783,653.812786,-754.720636,180,HHE
BON,2016-09-08 00:16:00+00:00,11.342329,169.709494,455.611057,-652.320759,180,HHE
BON,2016-09-08 00:17:00+00:00,-5.833936,224.076261,719.922764,-702.113564,180,HHE
BON,2016-09-08 00:18:00+00:00,-3.062609,191.914821,447.882091,-532.36589,180,HHE
BON,2016-09-08 00:19:00+00:00,-2.772969,202.780437,801.926814,-613.254204,180,HHE
BON,2016-09-08 00:20:00+00:00,9.436525,243.164184,711.266798,-770.12497,180,HHE
BON,2016-09-08 00:21:00+00:00,-4.941205,215.161328,551.094422,-778.804225,180,HHE
BON,2016-09-08 00:22:00+00:00,-3.642986,196.693472,811.643139,-588.375242,180,HHE
BON,2016-09-08 00:23:00+00:00,-8.604227,204.471302,585.332187,-830.14965,180,HHE
BON,2016-09-08 00:24:00+00:00,-6.213446,202.644315,693.556167,-648.345877,180,HHE
BON,2016-09-08 00:25:00+00:00,-1.386313,203.707366,525.509482,-674.453476,180,HHE
BON,2016-09-08 00:26:00+00:00,-5.323126,384.600741,1099.701105,-2082.829425,180,HHE
BON,2016-09-08 00:27:00+00:00,9.441728,211.222255,610.741388,-679.078871,180,HHE
BON,2016-09-08 00:28:00+00:00,-9.740424,203.147126,739.73054,-685.67895,180,HHE
BON,2016-09-08 00:29:00+00:00,6.389602,206.619158,698.420315,-595.006952,180,HHE
BON,2016-09-08 00:30:00+00:00,0.999514,214.550572,779.272799,-852.357998,180,HHE
BON,2016-09-08 00:31:00+00:00,10.899291,203.495404,758.580521,-597.693552,180,HHE
BON,2016-09-08 00:32:00+00:00,-15.952043,227.221937,831.657519,-705.318943,180,HHE
BON,2016-09-08 00:33:00+00:00,7.462803,215.257813,833.342456,-695.519988,180,HHE
BON,2016-09-08 00:34:00+00:00,-13.354466,199.951189,596.199848,-630.69701,180,HHE
BON,2016-09-08 00:35:00+00:00,11.049037,216.887601,619.666875,-769.432451,180,HHE
BON,2016-09-08 00:36:00+00:00,-4.182238,216.596152,539.634022,-1051.322968,180,HHE
BON,2016-09-08 00:37:00+00:00,-10.678624,228.516459,853.321888,-941.617134,180,HHE
BON,2016-09-08 00:38:00+00:00,-1.138601,199.3066,522.485603,-601.357156,180,HHE
BON,2016-09-08 00:39:00+00:00,-3.003934,201.542247,729.05726,-634.021403,180,HHE
BON,2016-09-08 00:40:00+00:00,-19.835259,183.944383,854.068192,-568.369559,180,HHE
BON,2016-09-08 00:41:00+00:00,-5.110206,203.517292,571.117615,-702.962409,180,HHE
BON,2016-09-08 00:42:00+00:00,-2.879916,190.737017,739.639401,-573.386992,180,HHE
BON,2016-09-08 00:43:00+00:00,10.36644,198.523791,827.067581,-619.065756,180,HHE
BON,2016-09-08 00:44:00+00:00,-8.164705,177.169532,509.845561,-432.67439,180,HHE
BON,2016-09-08 00:45:00+00:00,-8.917689,218.064777,466.284832,-836.227373,180,HHE
BON,2016-09-08 00:46:00+00:00,1.497569,181.492529,574.764652,-801.393278,180,HHE
BON,2016-09-08 00:47:00+00:00,-2.533253,219.049632,844.238025,-750.479095,180,HHE
BON,2016-09-08 00:48:00+00:00,-30.280368,219.25345,533.504572,-896.684027,180,HHE
BON,2016-09-08 00:49:00+00:00,0.227361,186.202779,624.365287,-619.53792,180,HHE
BON,2016-09-08 00:50:00+00:00,-20.484609,195.431304,593.069709,-597.843555,180,HHE
BON,2016-09-08 00:51:00+00:00,9.156611,241.833415,799.672435,-628.485103,180,HHE
BON,2016-09-08 00:52:00+00:00,20.511217,188.674306,579.056654,-533.913954,180,HHE
BON,2016-09-08 00:53:00+00:00,13.324574,204.893023,470.82424,-825.574633,180,HHE
BON,2016-09-08 00:54:00+00:00,8.977385,203.853921,716.463631,-521.065463,180,HHE
BON,2016-09-08 00:55:00+00:00,-11.686226,229.572101,705.400854,-896.728684,180,HHE
BON,2016-09-08 00:56:00+00:00,-15.230391,206.949694,691.75539,-684.866212,180,HHE
BON,2016-09-08 00:57:00+00:00,-5.098042,200.306189,490.125325,-603.795507,180,HHE
BON,2016-09-08 00:58:00+00:00,22.79441,217.502845,784.568694,-653.846664,180,HHE
BON,2016-09-08 00:59:00+00:00,1.840611,230.573229,660.046846,-931.597616,180,HHE
BON,2016-09-08 01:00:00+00:00,-5.140501,199.903524,812.054636,-620.512316,180,HHE
BON,2016-09-08 01:01:00+00:00,10.442206,189.73092,580.268802,-436.945792,180,HHE
BON,2016-09-08 01:02:00+00:00,14.683386,195.583755,668.175468,-575.279229,180,HHE
BON,2016-09-08 01:03:00+00:00,-26.494954,186.488222,543.041016,-682.691812,180,HHE
BON,2016-09-08 01:04:00+00:00,-2.610713,204.900814,577.351275,-724.187144,180,HHE
BON,2016-09-08 01:05:00+00:00,1.794994,194.029044,571.824352,-698.013431,180,HHE
BON,2016-09-08 01:06:00+00:00,3.159805,224.112482,659.396265,-564.759023,180,HHE
BON,2016-09-08 01:07:00+00:00,-2.173898,214.213335,538.997628,-597.067494,180,HHE
BON,2016-09-08 01:08:00+00:00,8.043623,195.101663,704.679664,-586.22298,180,HHE
BON,2016-09-08 01:09:00+00:00,16.947205,198.607358,611.264171,-525.299883,180,HHE
BON,2016-09-08 01:10:00+00:00,-5.154849,230.183579,644.433907,-784.863374,180,HHE
BON,2016-09-08 01:11:00+00:00,-4.973642,208.23115,609.312078,-720.963417,180,HHE
BON,2016-09-08 01:12:00+00:00,-5.091748,204.20145,797.16055,-676.097381,180,HHE
BON,2016-09-08 01:13:00+00:00,-3.641806,194.194982,728.887668,-511.478091,180,HHE
BON,2016-09-08 01:14:00+00:00,-6.634977,207.388627,626.145143,-737.338461,180,HHE
BON,2016-09-08 01:15:00+00:00,-10.165053,208.396285,606.061547,-532.019227,180,HHE
