station,time_min,amplitude_mean,amplitude_std,amplitude_max,amplitude_min,amplitude_count,channel
CSS,2023-06-29 01:04:00+00:00,-19.397287,274.308491,642.65468,-689.945899,180,HHE
CSS,2023-06-29 01:05:00+00:00,-0.119822,277.219241,659.90552,-836.984028,180,HHE
CSS,2023-06-29 01:06:00+00:00,20.497656,309.68599,1093.423182,-918.13548,180,HHE
CSS,2023-06-29 01:07:00+00:00,35.274521,331.839875,983.205563,-950.378269,180,HHE
CSS,2023-06-29 01:08:00+00:00,18.767757,316.037931,868.523729,-970.029307,180,HHE
CSS,2023-06-29 01:09:00+00:00,2.135805,316.847861,792.701396,-867.116609,180,HHE
CSS,2023-06-29 01:10:00+00:00,15.53408,324.711395,819.264515,-1150.768356,180,HHE
CSS,2023-06-29 01:11:00+00:00,-37.337899,299.76971,746.003784,-1079.173327,180,HHE
CSS,2023-06-29 01:12:00+00:00,-7.777965,300.788816,918.300281,-856.291976,180,HHE
CSS,2023-06-29 01:13:00+00:00,-4.300005,302.745462,807.416433,-762.679434,180,HHE
CSS,2023-06-29 01:14:00+00:00,42.918139,385.948242,1417.499039,-885.664188,180,HHE
CSS,2023-06-29 01:15:00+00:00,-63.942115,349.758013,999.555253,-975.997491,180,HHE
CSS,2023-06-29 01:16:00+00:00,12.904953,295.640555,902.128338,-1028.564766,180,HHE
CSS,2023-06-29 01:17:00+00:00,26.392092,262.804973,705.07586,-791.068425,180,HHE
CSS,2023-06-29 01:18:00+00:00,24.204145,272.031385,910.869955,-879.077676,180,HHE
CSS,2023-06-29 01:19:00+00:00,-7.844351,263.211797,617.270769,-915.071882,180,HHE
CSS,2023-06-29 01:20:00+00:00,-2.716925,260.491521,877.964817,-659.094189,180,HHE
CSS,2023-06-29 01:21:00+00:00,25.846559,284.761874,799.425091,-1054.906192,180,HHE
CSS,2023-06-29 01:22:00+00:00,19.461959,282.103862,900.445853,-577.527051,180,HHE
CSS,2023-06-29 01:23:00+00:00,-2.207525,269.827365,581.651218,-841.661348,180,HHE
CSS,2023-06-29 01:24:00+00:00,62.684041,268.451827,1003.305268,-645.101387,180,HHE
CSS,2023-06-29 01:25:00+00:00,-58.455043,269.632662,641.561715,-936.188865,180,HHE
CSS,2023-06-29 01:26:00+00:00,-6.895922,270.48672,770.150946,-641.085909,180,HHE
CSS,2023-06-29 01:27:00+00:00,16.929501,312.885464,935.545413,-832.192528,180,HHE
CSS,2023-06-29 01:28:00+00:00,35.130425,306.934998,1150.558901,-1127.515826,180,HHE
CSS,2023-06-29 01:29:00+00:00,-26.076293,262.803638,821.778662,-863.865803,180,HHE
CSS,2023-06-29 01:30:00+00:00,0.718983,280.775823,913.400099,-841.341044,180,HHE
CSS,2023-06-29 01:31:00+00:00,-9.549858,299.537043,841.228752,-982.386759,180,HHE
CSS,2023-06-29 01:32:00+00:00,-6.934995,314.41588,992.713957,-797.15963,180,HHE
CSS,2023-06-29 01:33:00+00:00,-34.739324,291.43075,849.370119,-785.584968,180,HHE
CSS,2023-06-29 01:34:00+00:00,13.126364,283.878306,640.288029,-812.485183,180,HHE
CSS,2023-06-29 01:35:00+00:00,-25.843461,357.128814,1377.279644,-1079.526406,180,HHE
CSS,2023-06-29 01:36:00+00:00,3.05985,263.377791,840.788886,-604.82609,180,HHE
CSS,2023-06-29 01:37:00+00:00,4.53324,307.830442,849.227062,-1004.493529,180,HHE
CSS,2023-06-29 01:38:00+00:00,-19.880933,291.524716,796.217728,-895.946143,180,HHE
CSS,2023-06-29 01:39:00+00:00,16.045616,291.652724,673.770808,-783.452729,180,HHE
CSS,2023-06-29 01:40:00+00:00,-30.193924,327.999661,781.611857,-1076.772686,180,HHE
CSS,2023-06-29 01:41:00+00:00,1.911644,367.163364,1717.065648,-1102.214874,180,HHE
CSS,2023-06-29 01:42:00+00:00,-0.626906,291.417288,774.588525,-828.139989,180,HHE
CSS,2023-06-29 01:43:00+00:00,0.037829,366.583266,959.11393,-1272.744525,180,HHE
CSS,2023-06-29 01:44:00+00:00,17.481319,270.039371,738.479411,-867.023591,180,HHE
CSS,2023-06-29 01:45:00+00:00,27.014036,281.019083,783.615867,-1021.760458,180,HHE
CSS,2023-06-29 01:46:00+00:00,8.715415,284.610644,776.933925,-809.030716,180,HHE
CSS,2023-06-29 01:47:00+00:00,-9.203589,274.562476,714.877465,-940.033813,180,HHE
CSS,2023-06-29 01:48:00+00:00,3.562535,319.526718,931.838037,-897.693481,180,HHE
CSS,2023-06-29 01:49:00+00:00,-6.992182,317.098913,1269.41961,-924.149572,180,HHE
CSS,2023-06-29 01:50:00+00:00,14.550671,293.989534,1107.840482,-752.719877,180,HHE
CSS,2023-06-29 01:51:00+00:00,16.842524,306.642153,807.660011,-797.885256,180,HHE
CSS,2023-06-29 01:52:00+00:00,28.402693,266.530147,867.896927,-786.422547,180,HHE
CSS,2023-06-29 01:53:00+00:00,69.816218,350.597333,1210.024187,-1075.556954,180,HHE
CSS,2023-06-29 01:54:00+00:00,-18.481626,286.928019,1132.74177,-710.358153,180,HHE
CSS,2023-06-29 01:55:00+00:00,5.873644,274.262058,755.34888,-668.034126,180,HHE
CSS,2023-06-29 01:56:00+00:00,-39.673032,261.472529,795.96473,-714.060613,180,HHE
CSS,2023-06-29 01:57:00+00:00,34.576626,261.145886,975.933488,-641.849904,180,HHE
CSS,2023-06-29 01:58:00+00:00,-33.797977,281.031283,666.927374,-753.566773,180,HHE
CSS,2023-06-29 01:59:00+00:00,-13.041413,276.176082,706.752958,-741.445632,180,HHE
CSS,2023-06-29 02:00:00+00:00,6.938079,271.653241,925.253395,-776.07074,180,HHE
CSS,2023-06-29 02:01:00+00:00,12.299973,267.471991,669.662777,-849.070788,180,HHE
CSS,2023-06-29 02:02:00+00:00,17.447233,317.270614,862.650759,-817.912351,180,HHE
CSS,2023-06-29 02:03:00+00:00,17.554944,262.861917,808.748922,-503.036013,180,HHE
CSS,2023-06-29 02:04:00+00:00,-14.343327,272.632111,627.740283,-933.11674,180,HHE
CSS,2023-06-29 02:05:00+00:00,-51.947167,278.047835,771.932219,-711.382539,180,HHE
CSS,2023-06-29 02:06:00+00:00,-21.21669,286.625378,867.249537,-772.025959,180,HHE
CSS,2023-06-29 02:07:00+00:00,-52.355411,299.591124,759.459005,-776.582092,180,HHE
CSS,2023-06-29 02:08:00+00:00,28.634999,258.493429,632.756743,-619.035888,180,HHE
CSS,2023-06-29 02:09:00+00:00,-26.827569,288.773551,902.61274,-682.979911,180,HHE
